SRC	TRG	PINYIN_STR	PINYIN_CHAR
e g i	埃 吉	ai ji	a i j i
d u k a n a	杜 卡 娜	du ka na	d u k a n a
d e v a l	德 瓦 尔	de wa er	d e w a e r
c o n t e e	康 蒂	kang di	k a n g d i
m o r i z e	莫 里 兹	mo li zi	m o l i z i
c l e c a k	克 莱 卡 克	ke lai ka ke	k e l a i k a k e
s p i e t h	斯 皮 思	si pi si	s i p i s i
b a y l e s s	贝 利 斯	bei li si	b e i l i s i
d u c h n o w s k i	杜 赫 诺 夫 斯 基	du he nuo fu si ji	d u h e n u o f u s i j i
a r u p	阿 勒 普	a le pu	a l e p u
r a n n e b e r g e r	兰 恩 伯 格	lan en bo ge	l a n e n b o g e
f a t z e r	法 策 尔	fa ce er	f a c e e r
b o t t w n o g	博 图 诺 格	bo tu nuo ge	b o t u n u o g e
s a u s m a r e z	索 马 里 兹	suo ma li zi	s u o m a l i z i
z w o l e n i k	兹 沃 莱 尼 克	zi wo lai ni ke	z i w o l a i n i k e
h o k e n s t a d	霍 肯 斯 塔 德	huo ken si ta de	h u o k e n s i t a d e
c a p p i e l l o	卡 皮 耶 洛	ka pi ye luo	k a p i y e l u o
s m a r r	斯 马	si ma	s i m a
m e l a n c t o n	梅 兰 克 顿	mei lan ke dun	m e i l a n k e d u n
m c c o r d o c k	麦 科 多 克	mai ke duo ke	m a i k e d u o k e
g a u r o n	高 伦	gao lun	g a o l u n
i n c r o p e r a	英 克 罗 佩 拉	ying ke luo pei la	y i n g k e l u o p e i l a
l o r i n	洛 林	luo lin	l u o l i n
h a s e l d e n	哈 兹 尔 登	ha zi er deng	h a z i e r d e n g
r e u t l i n g e r	罗 伊 特 林 格	luo yi te lin ge	l u o y i t e l i n g e
r e g i n a l d	雷 金 纳 德	lei jin na de	l e i j i n n a d e
m a r t i n o	马 蒂 诺	ma di nuo	m a d i n u o
a n n a g h m o r e	安 纳 克 莫 尔	an na ke mo er	a n n a k e m o e r
w u n d e r	旺 德	wang de	w a n g d e
d a l k e	达 尔 克	da er ke	d a e r k e
l e w e l y n	卢 埃 林	lu ai lin	l u a i l i n
m e e m	米 姆	mi mu	m i m u
a d r i e n n e	阿 德 里 安 娜	a de li an na	a d e l i a n n a
n e t t i e	妮 蒂	ni di	n i d i
f r a n k l a n d	弗 兰 克 兰	fu lan ke lan	f u l a n k e l a n
c u l l i s	卡 利 斯	ka li si	k a l i s i
i b a r r a	伊 瓦 拉	yi wa la	y i w a l a
s t a n s g a t e	斯 坦 斯 盖 特	si tan si gai te	s i t a n s i g a i t e
a l e x i s s o n	亚 历 克 西 森	ya li ke xi sen	y a l i k e x i s e n
m e r i l y n	梅 里 琳	mei li lin	m e i l i l i n
f i l l i u s	菲 利 厄 斯	fei li e si	f e i l i e s i
s o y	索 伊	suo yi	s u o y i
p f e f f e r	普 费 弗	pu fei fu	p u f e i f u
f l o r i a	弗 洛 里 亚	fu luo li ya	f u l u o l i y a
r u m b l e s	朗 布 尔 斯	lang bu er si	l a n g b u e r s i
i s r a e l s	伊 斯 雷 尔 斯	yi si lei er si	y i s i l e i e r s i
c r o v i t z	克 罗 维 茨	ke luo wei ci	k e l u o w e i c i
r i f e	赖 夫	lai fu	l a i f u
k r a m i s h	克 拉 米 什	ke la mi shi	k e l a m i s h i
l o s a k	洛 萨 克	luo sa ke	l u o s a k e
r o u n s a v e l l e	朗 斯 维 尔	lang si wei er	l a n g s i w e i e r
b o s m a j i a n	博 斯 马 吉 安	bo si ma ji an	b o s i m a j i a n
b o d i a n	博 迪 恩	bo di en	b o d i e n
h e d m a n	赫 德 曼	he de man	h e d e m a n
p o r t e o u s	波 蒂 厄 斯	bo di e si	b o d i e s i
m u d e l l	马 德 尔	ma de er	m a d e e r
h y t i e r	海 蒂 尔	hai di er	h a i d i e r
g a r n s w o r t h y	加 恩 兹 沃 西	jia en zi wo xi	j i a e n z i w o x i
c o r a l	科 拉 尔	ke la er	k e l a e r
b e n e t	贝 尼 特	bei ni te	b e i n i t e
g o d b e h e r e	戈 德 贝 希 尔	ge de bei xi er	g e d e b e i x i e r
k i l m o r e y	基 尔 莫 里	ji er mo li	j i e r m o l i
o d a y	奥 戴	ao dai	a o d a i
c r e s a p	克 雷 萨 普	ke lei sa pu	k e l e i s a p u
t o m a s	托 马 斯	tuo ma si	t u o m a s i
g o r n i s h	戈 尼 什	ge ni shi	g e n i s h i
s p e l l i s y	斯 佩 利 西	si pei li xi	s i p e i l i x i
g r e e l y	格 里 利	ge li li	g e l i l i
l i k e s	莱 克 斯	lai ke si	l a i k e s i
l o g g i n s	洛 金 斯	luo jin si	l u o j i n s i
b u s h k i n	布 什 金	bu shi jin	b u s h i j i n
f o r t	福 特	fu te	f u t e
b r a m s	布 拉 姆 斯	bu la mu si	b u l a m u s i
l e b e a u	勒 博	le bo	l e b o
c u l i n	丘 林	qiu lin	q i u l i n
a y a l a	阿 亚 拉	a ya la	a y a l a
o t t e r n e s s	奥 特 尼 斯	ao te ni si	a o t e n i s i
s e r r e l l	瑟 雷 尔	se lei er	s e l e i e r
h e a k s	希 克 斯	xi ke si	x i k e s i
h o h e n s e e	霍 恩 西	huo en xi	h u o e n x i
s o r e n s t a m	索 伦 斯 塔 姆	suo lun si ta mu	s u o l u n s i t a m u
b a r k s	巴 克 斯	ba ke si	b a k e s i
m o z i n g o	莫 津 戈	mo jin ge	m o j i n g e
k e s o n	凯 森	kai sen	k a i s e n
w h i t t l e s e y	惠 特 尔 西	hui te er xi	h u i t e e r x i
m a c k y	麦 基	mai ji	m a i j i
g y p s y	吉 普 赛	ji pu sai	j i p u s a i
h e t t r i c k	赫 特 里 克	he te li ke	h e t e l i k e
h o o d	胡 德	hu de	h u d e
a m a r i	阿 马 里	a ma li	a m a l i
g a h e y	加 希	jia xi	j i a x i
g a n g e r	甘 杰	gan jie	g a n j i e
l a n	兰	lan	l a n
b e c k e d o r f f	贝 克 多 夫	bei ke duo fu	b e i k e d u o f u
r a h e e m	拉 希 姆	la xi mu	l a x i m u
s o n i	索 尼	suo ni	s u o n i
p u l l i n g	普 林	pu lin	p u l i n
f r e e s e	弗 里 兹	fu li zi	f u l i z i
a u b r e e	奥 布 丽	ao bu li	a o b u l i
f i l e s	法 尔 斯	fa er si	f a e r s i
h a g g a r	哈 格	ha ge	h a g e
g i e g e n g a c k	吉 根 加 克	ji gen jia ke	j i g e n j i a k e
r o s s a n	罗 森	luo sen	l u o s e n
p l a n t e r o s e	普 兰 特 罗 斯	pu lan te luo si	p u l a n t e l u o s i
b a r d w i l	巴 德 威 尔	ba de wei er	b a d e w e i e r
m c c r a w	麦 克 劳	mai ke lao	m a i k e l a o
p e n h a l e	彭 黑 尔	peng hei er	p e n g h e i e r
c o n a w a y	科 纳 韦	ke na wei	k e n a w e i
m a v i u s	梅 维 厄 斯	mei wei e si	m e i w e i e s i
g l a d h e i m	格 拉 德 海 姆	ge la de hai mu	g e l a d e h a i m u
c h e v a l i e r	希 瓦 利 埃	xi wa li ai	x i w a l i a i
s t a t o n	斯 塔 顿	si ta dun	s i t a d u n
t e e p l e s	蒂 普 尔 斯	di pu er si	d i p u e r s i
a l e d	阿 利 德	a li de	a l i d e
o l i v o	奥 利 沃	ao li wo	a o l i w o
t h e i s	泰 斯	tai si	t a i s i
f a v a l e	法 瓦 尔	fa wa er	f a w a e r
c o n i h e	科 尼	ke ni	k e n i
t e a c h	蒂 奇	di qi	d i q i
m i n g o	明 戈	ming ge	m i n g g e
f a v a r g e r	法 瓦 尔 杰	fa wa er jie	f a w a e r j i e
g o u r a s	古 拉 斯	gu la si	g u l a s i
m a n e s s	马 内 斯	ma nei si	m a n e i s i
m e e s o n	米 森	mi sen	m i s e n
v a u t e l e t	沃 特 莱 特	wo te lai te	w o t e l a i t e
a c h i b a l d	阿 奇 博 尔 德	a qi bo er de	a q i b o e r d e
c a s m u s	卡 斯 默 斯	ka si mo si	k a s i m o s i
c a l i f a n o	卡 利 法 诺	ka li fa nuo	k a l i f a n u o
t r u e m a n	特 鲁 曼	te lu man	t e l u m a n
s u p e r	休 珀	xiu po	x i u p o
h e i e r	海 尔	hai er	h a i e r
k i l z e r	基 尔 泽	ji er ze	j i e r z e
m o b b s	莫 布 斯	mo bu si	m o b u s i
b e a t y	贝 蒂	bei di	b e i d i
o l n e y	奥 尔 尼	ao er ni	a o e r n i
m a r q u i s	马 奎 斯	ma kui si	m a k u i s i
e s r e y	埃 斯 里	ai si li	a i s i l i
g a b b	加 布	jia bu	j i a b u
s w a s h	斯 沃 什	si wo shi	s i w o s h i
e g l i n	埃 格 琳	ai ge lin	a i g e l i n
e f f r o s	埃 弗 罗 斯	ai fu luo si	a i f u l u o s i
k a l l e n	卡 伦	ka lun	k a l u n
p a n t h e r	潘 瑟	pan se	p a n s e
c r o m w e l l	克 伦 威 尔	ke lun wei er	k e l u n w e i e r
s e r m o n	瑟 蒙	se meng	s e m e n g
d i v e l b i s s	迪 韦 尔 比 斯	di wei er bi si	d i w e i e r b i s i
s t e n h o l m	斯 滕 霍 尔 姆	si teng huo er mu	s i t e n g h u o e r m u
l i l l e y	利 利	li li	l i l i
l e p o i d e v i n	勒 普 瓦 德 万	le pu wa de wan	l e p u w a d e w a n
p i e p e r	皮 珀	pi po	p i p o
r o c k h i l l	罗 克 希 尔	luo ke xi er	l u o k e x i e r
g i l c r e e s t	吉 尔 克 里 斯 特	ji er ke li si te	j i e r k e l i s i t e
d u r b r i d g e	德 布 里 奇	de bu li qi	d e b u l i q i
f e r e y d o u n i	费 雷 杜 尼	fei lei du ni	f e i l e i d u n i
i h r i g	伊 里 格	yi li ge	y i l i g e
a m a l y a	阿 马 利 亚	a ma li ya	a m a l i y a
p a f f e n b e r g e r	帕 芬 伯 格	pa fen bo ge	p a f e n b o g e
y e t t s	耶 茨	ye ci	y e c i
e l a n d e r	伊 兰 德	yi lan de	y i l a n d e
c a p o n i o	卡 波 尼 奥	ka bo ni ao	k a b o n i a o
f o s c o	福 斯 科	fu si ke	f u s i k e
g i t o m e r	吉 托 默	ji tuo mo	j i t u o m o
t y r a	蒂 拉	di la	d i l a
s t e n n i s	斯 滕 尼 斯	si teng ni si	s i t e n g n i s i
l o k k e n	洛 肯	luo ken	l u o k e n
a i l e s	艾 尔 斯	ai er si	a i e r s i
a k s e n	阿 克 森	a ke sen	a k e s e n
h o b a n	霍 本	huo ben	h u o b e n
b o l d e n	博 尔 登	bo er deng	b o e r d e n g
l a r i m o r e	拉 里 莫 尔	la li mo er	l a l i m o e r
d r a a y e r	德 拉 耶	de la ye	d e l a y e
s e m s r o t t	森 斯 罗 特	sen si luo te	s e n s i l u o t e
c a s a n d r a	卡 桑 德 拉	ka sang de la	k a s a n g d e l a
e l i a n o r	埃 莉 亚 诺	ai li ya nuo	a i l i y a n u o
d i f f o r d	迪 福 德	di fu de	d i f u d e
b a l i l e s	巴 莱 尔 斯	ba lai er si	b a l a i e r s i
d i c k e n s o n	迪 肯 森	di ken sen	d i k e n s e n
s o w e r s	索 尔 斯	suo er si	s u o e r s i
s t a c h	施 塔 赫	shi ta he	s h i t a h e
k i d e n e y	基 德 尼	ji de ni	j i d e n i
b u c k h o u t	巴 克 霍 特	ba ke huo te	b a k e h u o t e
t o n k a	汤 卡	tang ka	t a n g k a
w a l e y	韦 利	wei li	w e i l i
a r i a n n a	阿 里 安 娜	a li an na	a l i a n n a
s c h e i d e r e r	沙 伊 德 勒	sha yi de le	s h a y i d e l e
k i m s e y	基 姆 西	ji mu xi	j i m u x i
t h a d e n	塔 登	ta deng	t a d e n g
n a c h m a n o f f	纳 赫 马 诺 夫	na he ma nuo fu	n a h e m a n u o f u
m c l a n a t h a n	麦 克 拉 纳 森	mai ke la na sen	m a i k e l a n a s e n
g a r b u t t	加 伯 特	jia bo te	j i a b o t e
b i r k m y r e	伯 克 迈 耶	bo ke mai ye	b o k e m a i y e
s t o n e h a m	斯 托 纳 姆	si tuo na mu	s i t u o n a m u
d e l o r e s	德 洛 雷 斯	de luo lei si	d e l u o l e i s i
l i e b e r	利 伯	li bo	l i b o
l a n t e r	兰 特	lan te	l a n t e
c o m p e r e	康 佩 尔	kang pei er	k a n g p e i e r
s p u r g e o n	斯 珀 吉 翁	si po ji weng	s i p o j i w e n g
m a t i l d e	马 蒂 尔 德	ma di er de	m a d i e r d e
d i e r c k s	迪 克 斯	di ke si	d i k e s i
e v e r s l e y	埃 弗 斯 利	ai fu si li	a i f u s i l i
w a t e r s	沃 特 斯	wo te si	w o t e s i
b u f f	巴 夫	ba fu	b a f u
d u f n e r	达 夫 纳	da fu na	d a f u n a
g a l l o w a y	加 洛 韦	jia luo wei	j i a l u o w e i
s m e e	斯 米	si mi	s i m i
a r m b r u s t e r	安 布 鲁 斯 特	an bu lu si te	a n b u l u s i t e
c o l o d z i n	科 洛 津	ke luo jin	k e l u o j i n
g w i l y	格 威 利	ge wei li	g e w e i l i
k a s a n o f f	卡 萨 诺 夫	ka sa nuo fu	k a s a n u o f u
s t u b b s	斯 塔 布 斯	si ta bu si	s i t a b u s i
f a v e l l	费 弗 尔	fei fu er	f e i f u e r
l e h r m a n	莱 尔 曼	lai er man	l a i e r m a n
f u e l l e m a n	菲 勒 曼	fei le man	f e i l e m a n
k r e t c h m a n	克 雷 奇 曼	ke lei qi man	k e l e i q i m a n
r e c k	雷 克	lei ke	l e i k e
i o a n e s	约 安 尼 斯	yue an ni si	y u e a n n i s i
l o u g h r e y	洛 克 雷	luo ke lei	l u o k e l e i
s o u t h e s k	索 塞 斯 克	suo sai si ke	s u o s a i s i k e
p r e v a t t	普 雷 瓦 特	pu lei wa te	p u l e i w a t e
m o s k o v i t z	莫 斯 科 维 茨	mo si ke wei ci	m o s i k e w e i c i
a r m i n d a	阿 明 达	a ming da	a m i n g d a
d u n g l a s s	邓 格 拉 斯	deng ge la si	d e n g g e l a s i
w h i c h e r	惠 彻	hui che	h u i c h e
f r i s c h k n e c h t	弗 里 施 克 内 希 特	fu li shi ke nei xi te	f u l i s h i k e n e i x i t e
p i r a n t	皮 伦 特	pi lun te	p i l u n t e
l a n t y	兰 蒂	lan di	l a n d i
o r i o n	奥 赖 恩	ao lai en	a o l a i e n
u m f r e v i l l e	乌 姆 弗 勒 维 尔	wu mu fu le wei er	w u m u f u l e w e i e r
f e e l e y	菲 利	fei li	f e i l i
b a r n a s	巴 纳 斯	ba na si	b a n a s i
c h a n d l e r	钱 德 勒	qian de le	q i a n d e l e
h a m e y	哈 米	ha mi	h a m i
r o d e n	罗 登	luo deng	l u o d e n g
m u n	芒	mang	m a n g
b u r t o n	伯 顿	bo dun	b o d u n
l o v e s t o n e	洛 夫 斯 通	luo fu si tong	l u o f u s i t o n g
i s l i p	伊 斯 利 普	yi si li pu	y i s i l i p u
b a c u p	贝 克 普	bei ke pu	b e i k e p u
a r d l e y	阿 德 利	a de li	a d e l i
b l e y	布 莱	bu lai	b u l a i
d e m a k i s	德 马 基 斯	de ma ji si	d e m a j i s i
b e l o o f	贝 卢 夫	bei lu fu	b e i l u f u
t h i c k n e s s e	西 克 尼 斯	xi ke ni si	x i k e n i s i
b r u x n e r	布 鲁 克 斯 纳	bu lu ke si na	b u l u k e s i n a
k r a t t	克 拉 特	ke la te	k e l a t e
k e t o	凯 托	kai tuo	k a i t u o
m e l h o u s e	梅 尔 豪 斯	mei er hao si	m e i e r h a o s i
m a r t i n e k	马 蒂 内 克	ma di nei ke	m a d i n e i k e
e x o n	埃 克 森	ai ke sen	a i k e s e n
l y b e r g e r	利 伯 格	li bo ge	l i b o g e
w i c h m a n	威 克 曼	wei ke man	w e i k e m a n
b e e t l e	比 特 尔	bi te er	b i t e e r
c l a r i n d a	克 拉 琳 达	ke la lin da	k e l a l i n d a
t r o i l o	特 罗 伊 洛	te luo yi luo	t e l u o y i l u o
r o b l i n	罗 布 林	luo bu lin	l u o b u l i n
f r e t w e l l	弗 雷 特 韦 尔	fu lei te wei er	f u l e i t e w e i e r
s y l v a n u s	西 尔 韦 纳 斯	xi er wei na si	x i e r w e i n a s i
d o w d e s w e l l	多 德 斯 韦 尔	duo de si wei er	d u o d e s i w e i e r
m e s z n i k	梅 斯 尼 克	mei si ni ke	m e i s i n i k e
h o w e n s t i n e	豪 恩 斯 坦	hao en si tan	h a o e n s i t a n
h e k t o e n	赫 克 通	he ke tong	h e k e t o n g
s c a r l e t t	斯 卡 利 特	si ka li te	s i k a l i t e
h a w p e	霍 普	huo pu	h u o p u
c a l d e r h e a d	考 尔 德 黑 德	kao er de hei de	k a o e r d e h e i d e
b e l e s m e	贝 莱 姆	bei lai mu	b e i l a i m u
l e e n	利 恩	li en	l i e n
r u m p f	朗 夫	lang fu	l a n g f u
l a y m a n	莱 曼	lai man	l a i m a n
d e t h i e r	德 蒂 尔	de di er	d e d i e r
n i c h o l l	尼 科 尔	ni ke er	n i k e e r
y e r a z u n i s	耶 拉 祖 尼 斯	ye la zu ni si	y e l a z u n i s i
h a m m e r m a n	哈 默 曼	ha mo man	h a m o m a n
g a r d e n	加 登	jia deng	j i a d e n g
g o o d s e l l	古 德 塞 尔	gu de sai er	g u d e s a i e r
s o u c y	苏 西	su xi	s u x i
m a r i o	马 里 奥	ma li ao	m a l i a o
f e a k e s	费 克 斯	fei ke si	f e i k e s i
s l a t o n	斯 莱 顿	si lai dun	s i l a i d u n
t w o m e y	图 米	tu mi	t u m i
m a c k e r r a s	麦 克 拉 斯	mai ke la si	m a i k e l a s i
b e r m a n g e	伯 曼 奇	bo man qi	b o m a n q i
f a e d	费 德	fei de	f e i d e
g u t t e r	格 特	ge te	g e t e
s t o d a r t	斯 托 达 特	si tuo da te	s i t u o d a t e
t a f f i n d e r	塔 芬 德	ta fen de	t a f e n d e
w i s t a r	威 斯 塔	wei si ta	w e i s i t a
h i r s c h l	赫 希 尔	he xi er	h e x i e r
e r l e	厄 尔	e er	e e r
b r u t s c h e	布 鲁 奇	bu lu qi	b u l u q i
e n g l e h a u p t	恩 格 尔 豪 普 特	en ge er hao pu te	e n g e e r h a o p u t e
c r u s o e	克 鲁 索	ke lu suo	k e l u s u o
f r e d i r i c k s	弗 雷 迪 里 克 斯	fu lei di li ke si	f u l e i d i l i k e s i
o n s t o t	昂 斯 托 特	ang si tuo te	a n g s i t u o t e
m c g r o r y	麦 格 罗 里	mai ge luo li	m a i g e l u o l i
s k l a r e w i t z	斯 克 拉 雷 维 茨	si ke la lei wei ci	s i k e l a l e i w e i c i
p h i l i p s e	菲 利 普 斯	fei li pu si	f e i l i p u s i
b a t t e r s h i l l	巴 特 希 尔	ba te xi er	b a t e x i e r
f i n k l e	芬 克 尔	fen ke er	f e n k e e r
f a r i n h o l t	法 林 霍 尔 特	fa lin huo er te	f a l i n h u o e r t e
r o u s	劳 斯	lao si	l a o s i
z e t t l e m o y e r	泽 特 尔 莫 耶	ze te er mo ye	z e t e e r m o y e
p i n l e y	平 利	ping li	p i n g l i
w o o d g a t e	伍 德 盖 特	wu de gai te	w u d e g a i t e
p e u r i f o y	普 里 福 伊	pu li fu yi	p u l i f u y i
s c h a f f e r	谢 弗	xie fu	x i e f u
b l a x l a n d	布 拉 克 斯 兰	bu la ke si lan	b u l a k e s i l a n
m e l i c k	梅 利 克	mei li ke	m e i l i k e
n o r y e s	诺 里 斯	nuo li si	n u o l i s i
m e l b o u r n	墨 尔 本	mo er ben	m o e r b e n
f o r n i	福 尼	fu ni	f u n i
b e n o i t	贝 努 瓦	bei nu wa	b e i n u w a
s o h l i n	索 林	suo lin	s u o l i n
c o a t a l e n	科 塔 伦	ke ta lun	k e t a l u n
i s o m	艾 瑟 姆	ai se mu	a i s e m u
e l i s s a	埃 莉 萨	ai li sa	a i l i s a
l a r k e n	拉 肯	la ken	l a k e n
r a n c e	兰 斯	lan si	l a n s i
b e v a n s	贝 文 斯	bei wen si	b e i w e n s i
z v e r i n a	兹 维 里 纳	zi wei li na	z i w e i l i n a
b o b b y	博 比	bo bi	b o b i
t u r n d o r f	特 恩 多 夫	te en duo fu	t e e n d u o f u
o r m	奥 姆	ao mu	a o m u
w r i s b e r g	里 斯 伯 格	li si bo ge	l i s i b o g e
b a u d	鲍 德	bao de	b a o d e
b i l s i n g	比 尔 辛	bi er xin	b i e r x i n
c l y m e r	克 莱 默	ke lai mo	k e l a i m o
f r e d r i k s	弗 雷 德 里 克 斯	fu lei de li ke si	f u l e i d e l i k e s i
c o r i n a l d i	科 里 纳 尔 迪	ke li na er di	k e l i n a e r d i
i s m e n e	伊 斯 梅 娜	yi si mei na	y i s i m e i n a
d a w e s	道 斯	dao si	d a o s i
n e w i n g h a m	纽 因 厄 姆	niu yin e mu	n i u y i n e m u
v e r d i n o	韦 尔 蒂 诺	wei er di nuo	w e i e r d i n u o
p u l l e y b l a n k	普 利 布 兰 克	pu li bu lan ke	p u l i b u l a n k e
w i s b y	威 斯 比	wei si bi	w e i s i b i
m c l u r k i n	麦 克 勒 金	mai ke le jin	m a i k e l e j i n
d r y h u r s t	德 赖 赫 斯 特	de lai he si te	d e l a i h e s i t e
m c i n t u r f f	麦 金 塔 夫	mai jin ta fu	m a i j i n t a f u
h e n s l e y	汉 斯 莱	han si lai	h a n s i l a i
b o o r s t i n	布 尔 斯 廷	bu er si ting	b u e r s i t i n g
d a g n e	达 格 尼	da ge ni	d a g e n i
b a r n e l l	巴 内 尔	ba nei er	b a n e i e r
b l i c k e n s d e r f e r	布 利 肯 斯 德 弗	bu li ken si de fu	b u l i k e n s i d e f u
l a n s b u r y	兰 斯 伯 里	lan si bo li	l a n s i b o l i
f a d d e n	法 登	fa deng	f a d e n g
c a m p a n a	坎 帕 纳	kan pa na	k a n p a n a
t h r a i l k i l l	思 雷 基 尔	si lei ji er	s i l e i j i e r
b a s t a r d	巴 斯 塔 德	ba si ta de	b a s i t a d e
r e a s o n	里 森	li sen	l i s e n
c h r y s t a l	克 里 斯 特 尔	ke li si te er	k e l i s i t e e r
j u r y	朱 里	zhu li	z h u l i
l e l e u	勒 卢	le lu	l e l u
h o g e n	霍 根	huo gen	h u o g e n
m e i g s	梅 格 斯	mei ge si	m e i g e s i
b r a t t o n	布 拉 顿	bu la dun	b u l a d u n
f r e n d	弗 伦 德	fu lun de	f u l u n d e
w a r n	沃 恩	wo en	w o e n
r a i n s	雷 恩 斯	lei en si	l e i e n s i
k n u t e	克 努 特	ke nu te	k e n u t e
b l u n k e t t	布 伦 基 特	bu lun ji te	b u l u n j i t e
i v e a g h	艾 弗	ai fu	a i f u
h o v e l l	霍 维 尔	huo wei er	h u o w e i e r
g l i n	格 林	ge lin	g e l i n
d a r y	达 里	da li	d a l i
c a l h o o n	卡 尔 霍 恩	ka er huo en	k a e r h u o e n
a b b e l	阿 贝 尔	a bei er	a b e i e r
q u i n a n	奎 南	kui nan	k u i n a n
b a l z	鲍 尔 茨	bao er ci	b a o e r c i
d e p e n b r o c k	德 彭 布 罗 克	de peng bu luo ke	d e p e n g b u l u o k e
s p a l v i n	斯 帕 尔 文	si pa er wen	s i p a e r w e n
b e z a r	贝 扎	bei zha	b e i z h a
a a r s l e f f	阿 尔 斯 莱 夫	a er si lai fu	a e r s i l a i f u
j a i v i n	贾 温	jia wen	j i a w e n
j a n u a d e r	贾 纽 埃 德	jia niu ai de	j i a n i u a i d e
u p c o t t	厄 普 科 特	e pu ke te	e p u k e t e
d r o e s h o u t	德 罗 肖 特	de luo xiao te	d e l u o x i a o t e
m a k i	梅 基	mei ji	m e i j i
h a m p e l	汉 佩 尔	han pei er	h a n p e i e r
b u c h e l e	布 谢 尔	bu xie er	b u x i e e r
a w o l o	阿 沃 洛	a wo luo	a w o l u o
h e n r i o d	亨 里 厄 德	heng li e de	h e n g l i e d e
s t e p t o e	斯 特 普 托	si te pu tuo	s i t e p u t u o
m c l a r n a n	麦 克 拉 南	mai ke la nan	m a i k e l a n a n
v o r t m a n n	沃 特 曼	wo te man	w o t e m a n
a g a r	阿 加	a jia	a j i a
r a i l s b a c k	雷 尔 斯 巴 克	lei er si ba ke	l e i e r s i b a k e
g o o d i s o n	古 迪 森	gu di sen	g u d i s e n
c h a r l e m a g n e	沙 勒 迈 恩	sha le mai en	s h a l e m a i e n
c o r a l i e	科 拉 莉	ke la li	k e l a l i
t r i s t r e m	特 里 斯 特 雷 姆	te li si te lei mu	t e l i s i t e l e i m u
n e u m e y e r	诺 伊 迈 耶	nuo yi mai ye	n u o y i m a i y e
r i t t m a n	里 特 曼	li te man	l i t e m a n
s l e s s e n g e r	斯 莱 辛 杰	si lai xin jie	s i l a i x i n j i e
a i l e y	艾 利	ai li	a i l i
s l i g o	斯 莱 戈	si lai ge	s i l a i g e
c u y l e r	凯 勒	kai le	k a i l e
w u e s t e	维 斯 特	wei si te	w e i s i t e
a c h e n b a u m	阿 肯 鲍 姆	a ken bao mu	a k e n b a o m u
s c h a r f f	沙 夫	sha fu	s h a f u
d e g r a w	德 格 劳	de ge lao	d e g e l a o
l u n i n g	卢 宁	lu ning	l u n i n g
h o f f m a n	霍 夫 曼	huo fu man	h u o f u m a n
n u c c i	努 奇	nu qi	n u q i
d u r r e n b e r g e r	达 伦 伯 杰	da lun bo jie	d a l u n b o j i e
m a c k e a n	麦 基 恩	mai ji en	m a i j i e n
k u p k a	库 普 卡	ku pu ka	k u p u k a
s e i l o n	塞 隆	sai long	s a i l o n g
b r e a r t o n	布 里 尔 顿	bu li er dun	b u l i e r d u n
l o s e r	洛 瑟	luo se	l u o s e
b e n a m i e	贝 纳 米	bei na mi	b e i n a m i
d o r k i n	多 尔 金	duo er jin	d u o e r j i n
k u s t a	库 斯 塔	ku si ta	k u s i t a
k e l v i n	凯 尔 文	kai er wen	k a i e r w e n
w o r l o c k	沃 洛 克	wo luo ke	w o l u o k e
r a i n e y	雷 尼	lei ni	l e i n i
m c l a g a n	麦 克 拉 根	mai ke la gen	m a i k e l a g e n
c l e f t	克 莱 夫 特	ke lai fu te	k e l a i f u t e
c u r t i s s	柯 蒂 斯	ke di si	k e d i s i
g u c h t	古 特	gu te	g u t e
g a l i e n a	加 列 纳	jia lie na	j i a l i e n a
f o w i n k l e	福 温 克 尔	fu wen ke er	f u w e n k e e r
r a s m u s	拉 斯 马 斯	la si ma si	l a s i m a s i
m u r d o	默 多	mo duo	m o d u o
z a k h e i m	扎 赫 姆	zha he mu	z h a h e m u
p a d e l f o r d	帕 德 尔 福 德	pa de er fu de	p a d e e r f u d e
s c h u h a r d t	舒 哈 特	shu ha te	s h u h a t e
b a l a y	巴 莱	ba lai	b a l a i
g r e e n s m i t h	格 林 史 密 斯	ge lin shi mi si	g e l i n s h i m i s i
t o u r n e u r	特 纳	te na	t e n a
s c h a d	谢 德	xie de	x i e d e
f i g g e	菲 格	fei ge	f e i g e
i v y	艾 维	ai wei	a i w e i
c o x e y	考 克 西	kao ke xi	k a o k e x i
d e l w i c k e	德 尔 威 克	de er wei ke	d e e r w e i k e
g u l l e y	格 利	ge li	g e l i
i s m a y	伊 斯 梅	yi si mei	y i s i m e i
s o d o r	索 德	suo de	s u o d e
c a v i t t	卡 维 特	ka wei te	k a w e i t e
f a g g	法 格	fa ge	f a g e
h i g n e t t	希 格 尼 特	xi ge ni te	x i g e n i t e
d e a k i n s	迪 金 斯	di jin si	d i j i n s i
s u h r i e	苏 里	su li	s u l i
f e i n s i n g e r	范 辛 格	fan xin ge	f a n x i n g e
f r a t t i	弗 拉 蒂	fu la di	f u l a d i
s w a l i n	斯 沃 林	si wo lin	s i w o l i n
r u p p e r t	鲁 珀 特	lu po te	l u p o t e
f o r s c h	福 施	fu shi	f u s h i
c a v e n a g h	卡 夫 纳	ka fu na	k a f u n a
a d e l i n	阿 德 琳	a de lin	a d e l i n
d i e c k e	迪 克	di ke	d i k e
c r e e l	克 里 尔	ke li er	k e l i e r
